,Relastic,Investigative,Artistic,social,Enterprising,conventional,temp
1,5,3,4,2,3,2,1
2,6,4,7,7,6,7,2
3,6,5,6,5,4,6,3
4,5,2,6,7,6,5,4
5,3,5,6,7,6,3,5
6,6,6,6,7,6,7,6
7,5,5,6,5,5,3,7
8,1,5,6,5,3,6,8
9,6,4,4,7,6,4,9
10,5,5,6,7,7,5,10
11,5,3,2,6,4,5,11
12,3,6,4,6,6,1,12
13,4,6,6,6,6,4,13
14,5,5,7,7,3,3,14
15,5,6,7,6,6,7,15
16,5,6,2,7,5,7,16
17,6,6,7,7,7,7,17
18,6,4,5,7,4,7,18
19,4,5,2,6,5,3,19
20,6,6,7,6,6,7,20
21,6,6,7,6,6,7,21
22,5,5,7,7,4,5,22
23,3,3,5,6,6,2,23
24,5,6,7,7,5,6,24
25,4,5,7,6,7,6,25
26,6,3,4,5,2,5,26
27,3,6,7,7,6,6,27
28,6,4,6,5,5,5,28
29,6,5,5,5,6,5,29
30,4,3,6,6,4,4,30
31,6,5,7,7,6,5,31
32,5,1,4,3,5,5,32
33,5,4,6,6,7,6,33
34,5,3,6,7,4,7,34
35,2,0,3,4,3,3,35
36,5,3,6,6,5,6,36
37,5,6,6,7,7,6,37
38,6,4,5,7,5,5,38
39,5,5,5,6,5,6,39
40,5,6,6,5,4,6,40
41,6,3,3,7,4,6,41
42,6,5,4,5,5,4,42
43,5,3,6,7,5,4,43
44,6,3,2,6,7,5,44
45,5,2,3,6,4,1,45
46,5,5,6,6,6,6,46
47,6,5,5,5,3,5,47
48,5,4,6,7,6,3,48
49,4,6,7,6,5,6,49
50,5,1,2,3,2,4,50
51,6,4,6,6,3,5,51
52,6,6,5,5,7,6,52
53,5,6,7,6,6,3,53
54,6,6,7,7,7,7,54
55,5,5,7,7,6,7,55
56,4,6,6,7,7,6,56
57,6,6,7,7,7,7,57
58,4,5,6,7,6,5,58
59,5,5,6,7,5,5,59
60,5,5,3,7,4,5,60
61,5,5,7,7,7,6,61
62,6,6,7,7,7,7,62
63,6,6,7,7,7,7,63
64,5,6,7,7,7,7,64
65,6,6,7,7,7,7,65
66,6,6,7,7,7,7,66
67,5,4,6,6,5,4,67
68,6,6,7,7,6,7,68
69,5,6,7,5,7,7,69
70,6,5,7,7,7,5,70
71,5,5,5,4,6,4,71
72,5,6,5,7,4,2,72
73,3,6,6,7,5,4,73
74,4,6,7,7,6,6,74
75,4,5,6,5,7,7,75
76,6,3,6,6,6,5,76
77,5,6,4,6,5,4,77
78,4,3,6,4,4,5,78
79,5,4,7,6,4,6,79
80,6,6,6,7,7,4,80
81,2,5,4,4,1,3,81
82,6,6,7,5,6,6,82
83,5,3,6,6,5,6,83
84,5,4,6,7,6,5,84
85,5,5,3,6,6,7,85
86,5,4,6,3,5,4,86
87,6,5,7,7,4,6,87
88,5,5,5,5,6,6,88
89,6,5,6,7,7,7,89
90,6,6,7,7,6,6,90
91,6,5,7,7,6,4,91
92,5,5,5,7,3,3,92
93,6,6,7,7,5,7,93
94,5,6,4,4,4,4,94
95,3,5,7,5,4,4,95
96,5,6,4,7,4,5,96
97,4,2,1,6,7,4,97
98,3,5,4,5,2,3,98
99,5,6,7,5,5,6,99
100,4,6,1,2,0,2,100
101,6,6,7,7,7,7,101
102,3,5,4,6,6,4,102
103,6,6,2,6,3,4,103
104,6,5,4,5,7,4,104
105,5,6,3,6,4,7,105
106,6,6,7,6,4,4,106
107,6,6,6,6,7,7,107
108,4,5,3,4,3,4,108
109,6,5,6,4,6,7,109
110,5,6,6,4,5,4,110
111,6,6,7,7,6,7,111
112,6,6,7,7,7,7,112
113,5,6,5,7,5,6,113
114,6,6,5,5,5,5,114
115,5,4,5,5,2,4,115
